datetime,open,high,low,close,volume,return
20250613,199.83,200.37,195.7,196.45,785048,-0.013805220883534086
20250616,197.28,198.69,196.56,198.42,617126,0.01002799694578771
20250617,197.2,198.39,195.21,195.64,541348,-0.014010684406813856
20250618,195.92,197.57,195.07,196.58,636094,0.004804743406256584
20250620,198.12,201.7,196.85,201.0,1163980,0.02248448468816755
20250623,201.59,202.3,198.96,201.5,695777,0.0024875621890547706
20250624,202.59,203.44,200.2,200.3,839989,-0.005955334987593042
20250625,201.42,203.67,200.62,201.56,587021,0.006290564153769385
20250626,201.44,202.64,199.46,201.0,787607,-0.0027783290335383626
20250627,201.92,203.22,200.0,201.08,817642,0.0003980099502487455
20250630,201.99,207.39,199.26,205.17,1352567,0.02034016311915643
20250701,206.72,210.19,206.14,207.82,1291760,0.012916118340888127
20250702,208.99,213.34,208.14,212.44,1192744,0.022230776633625382
20250703,212.07,214.65,211.81,213.55,547841,0.005225004707211545
20250707,212.72,216.23,208.8,209.95,764940,-0.016857878716928232
20250708,210.1,211.43,208.45,210.01,615410,0.0002857823291260164
20250709,209.53,211.33,207.22,211.14,765581,0.005380696157325726
20250710,210.44,213.48,210.03,212.41,709568,0.006014966373022679
20250711,210.43,212.13,209.86,211.16,538957,-0.005884845346264322
20250714,209.93,210.91,207.54,208.62,598290,-0.012028793332070409
20250715,209.22,211.89,208.92,209.11,595866,0.0023487680951010947
20250716,210.3,212.4,208.64,210.16,651430,0.005021280665678196
20250717,210.72,211.8,209.59,210.02,720798,-0.0006661591168632963
20250718,210.66,211.79,209.7,211.18,667742,0.00552328349680975
20250721,212.14,215.78,211.63,212.48,796881,0.006155885974050479
20250722,213.29,214.95,212.23,214.4,710868,0.009036144578313365
20250723,215.09,215.15,212.41,214.15,700787,-0.0011660447761193682
20250724,213.9,215.69,213.53,213.76,692273,-0.0018211533971516092
20250725,214.64,215.24,213.4,213.88,560899,0.0005613772455090871
20250728,214.0,214.85,213.06,214.05,524490,0.000794838227043293
20250729,214.16,214.81,210.89,211.27,705378,-0.012987619715019827
20250730,211.9,212.39,207.72,209.05,544905,-0.010507880910682998
20250731,208.49,209.84,207.16,207.57,883482,-0.0070796460176991705
20250801,210.95,213.58,201.5,202.38,1529872,-0.02500361323890732
20250804,204.46,207.88,201.67,203.35,1039389,0.004792963731593991
20250805,203.4,205.34,202.16,202.92,650410,-0.002114580772067942
20250806,205.63,215.38,205.59,213.25,1724623,0.050906761285235635
20250807,218.89,220.85,216.58,220.03,1514160,0.03179366940211015
20250808,220.86,231.0,219.25,229.35,2032033,0.04235786029177846
20250811,227.93,229.56,224.76,227.18,936168,-0.009461521691737418
20250812,228.01,230.8,227.07,229.65,788904,0.01087243595386922
20250813,231.05,235.0,230.43,233.33,1086939,0.016024384933594593
20250814,234.01,235.06,230.85,232.78,733453,-0.0023571765310933523
20250815,234.0,234.28,229.36,231.59,699406,-0.005112123034624938
20250818,231.77,233.12,230.11,230.89,535476,-0.0030225830130835574
20250819,231.28,232.87,229.35,230.56,529118,-0.0014292520247736196
20250820,229.97,230.47,225.77,226.01,585061,-0.019734559333795976
20250821,226.27,226.52,223.78,224.9,473561,-0.0049112871111897105
20250822,226.17,229.09,225.41,227.76,579960,0.012716763005780285
20250825,226.48,229.3,226.23,227.16,464030,-0.0026343519494204104
20250826,226.86,229.49,224.69,229.31,497958,0.009464694488466208
20250827,228.69,230.9,228.26,230.49,454549,0.005145872399808127
20250828,230.82,233.41,229.33,232.56,518043,0.008980866848887104
20250829,232.55,233.38,231.37,232.14,526854,-0.001805985552115641
20250902,229.25,230.85,226.97,229.72,564017,-0.010424743689153027
20250903,237.21,238.85,234.36,238.47,1046905,0.038089848511231095
20250904,238.45,239.9,236.74,239.78,683144,0.005493353461651473
20250905,240.0,241.32,238.49,239.69,805797,-0.00037534406539330156
20250908,239.3,240.15,236.34,237.88,707747,-0.007551420584922197
20250909,237.0,238.79,233.36,234.35,1128639,-0.014839414831007258
20250910,231.97,232.42,225.95,226.79,1294134,-0.03225944100704081
20250911,226.84,230.45,226.65,230.03,734361,0.014286344195070466
20250912,229.3,234.51,229.02,234.07,824294,0.017562926574794524
20250915,237.0,238.19,235.03,236.7,674972,0.011235955056179803
20250916,237.12,241.22,236.32,238.15,927464,0.006125897760878907
20250917,238.97,240.1,237.73,238.99,628649,0.0035271887465881946
20250918,239.96,241.2,236.65,237.88,620712,-0.004644545796895327
20250919,241.2,246.27,240.21,245.5,1634018,0.03203295779384563
20250922,248.3,256.64,248.12,256.08,1698248,0.04309572301425657
20250923,255.83,257.34,253.58,254.43,840507,-0.006443298969072031
20250924,255.25,255.58,251.04,252.31,543836,-0.008332350744802097
20250925,253.35,257.17,251.71,256.87,841999,0.01807300542982837
20250926,254.18,257.6,253.78,255.46,621927,-0.00548915793981386
20250929,254.56,255.0,253.01,254.43,544707,-0.0040319423784546116
20250930,254.89,255.92,253.11,254.63,473148,0.0007860708249813886
20251001,255.04,258.79,254.93,255.45,637887,0.0032203589522050713
20251002,256.59,258.18,254.15,257.13,607184,0.0065766294773927925
20251003,254.67,259.24,253.95,258.02,752018,0.0034612841753198786
20251006,257.99,259.07,255.05,256.69,584995,-0.005154639175257714
20251007,256.81,257.4,255.43,256.48,474348,-0.000818107444777616
20251008,256.52,258.52,256.11,258.06,472433,0.006160324391765393
20251009,257.81,258.0,253.14,254.04,536756,-0.01557777261102078
20251010,254.94,256.38,244.65,245.27,859145,-0.03452212250039355
20251013,249.31,249.69,245.56,247.66,468663,0.009744363354670327
20251014,246.6,248.85,244.7,247.77,440087,0.0004441573124445153
20251015,249.49,251.82,247.47,249.34,430341,0.006336521774226167
20251016,248.28,249.04,245.13,247.45,587949,-0.007580011229646355
20251017,248.08,253.38,247.27,252.29,651519,0.0195595069711052
20251020,255.89,264.38,255.63,262.24,1346402,0.03943874113123802
20251021,261.88,265.29,261.83,262.77,705586,0.0020210494203782847
20251022,262.61,262.85,255.43,258.45,634159,-0.016440232903299434
20251023,259.89,260.62,258.01,259.58,407301,0.0043722189978718795
20251024,261.16,264.13,259.18,262.82,577141,0.012481701209646312
20251027,264.88,269.12,264.65,268.81,603488,0.02279126398295417
20251028,269.01,269.89,268.15,269.0,631529,0.0007068189427477112
20251029,269.37,271.41,267.11,269.7,674199,0.0026022304832713505
20251030,271.99,274.14,268.48,271.4,789881,0.006303299962921782
20251031,276.99,277.32,269.16,270.37,1014268,-0.0037951363301399477
20251103,270.48,270.85,266.25,269.05,570341,-0.004882198468765031
20251104,268.32,271.49,267.61,270.04,613415,0.0036796134547483206
20251105,268.61,271.7,266.93,270.14,458829,0.00037031550881327924
20251106,267.89,273.4,267.89,269.77,636008,-0.0013696601762049898
20251107,269.8,272.29,266.77,268.47,654414,-0.004818919820587686
20251110,269.11,273.73,267.45,269.43,537976,0.003575818527209673
20251111,269.85,275.91,269.8,275.25,702581,0.021601158000222664
20251112,275.13,275.73,271.7,273.47,554803,-0.006466848319709229
20251113,274.27,276.7,272.09,272.95,546825,-0.0019014882802502742
20251114,271.02,275.96,269.6,272.41,581997,-0.0019783843194722817
20251117,268.83,270.49,265.73,267.46,532869,-0.01817113909181034
20251118,269.99,270.71,265.32,267.44,541415,-7.477753682783028e-05
20251119,265.54,272.21,265.5,268.56,507650,0.004187855219862424
20251120,270.92,275.43,265.92,266.25,618017,-0.008601429848078657
20251121,265.94,273.33,265.67,271.49,762456,0.019680751173708932
20251124,271.15,277.0,270.9,275.92,692943,0.01631735975542381
20251125,275.27,280.38,275.25,276.97,555957,0.003805450855320469
20251126,276.96,279.53,276.63,277.55,414883,0.002094089612593386
20251128,277.37,279.0,275.98,278.85,237469,0.004683840749414525
20251201,278.1,283.42,276.14,283.1,590808,0.01524116908732287
20251202,282.99,287.4,282.63,286.19,651668,0.010914871070293097
20251203,286.2,288.62,283.3,284.15,564670,-0.007128131660784853
20251204,284.1,284.73,278.59,280.7,560807,-0.012141474573288735
20251205,280.54,281.14,278.05,278.78,432266,-0.006840042750267283
20251208,278.11,279.67,276.15,277.89,469767,-0.003192481526651747
20251209,278.16,280.03,276.92,277.18,421982,-0.0025549677930115644
20251210,277.84,279.75,276.44,278.78,383388,0.005772422252687592
20251211,279.1,279.59,273.81,278.03,436552,-0.0026902934213358654
20251212,277.91,279.22,276.82,278.28,471521,0.0008991835413445504
20251215,280.17,280.17,272.84,274.11,620027,-0.014984907287623805
20251216,272.7,275.5,271.79,274.61,429793,0.001824085221261429
20251217,275.0,276.16,271.64,271.84,524250,-0.010087032518845018
20251218,273.61,273.63,266.95,272.19,643052,0.0012875220718069347
20251219,272.39,274.6,269.9,273.67,989144,0.0054373783019214805
20251222,272.88,273.88,270.5,270.97,507693,-0.00986589688310735
20251223,270.84,272.5,269.56,272.36,403063,0.005129719157102253
20251224,272.34,275.43,272.19,273.81,257506,0.005323836099280221
20251226,274.16,275.37,272.86,273.4,308686,-0.0014973887001936692
20251229,272.7,274.36,272.35,273.76,252455,0.0013167520117045584
20251230,272.81,274.08,272.28,273.08,296057,-0.002483927527761609
20251231,273.06,273.68,271.75,271.86,289809,-0.004467555295151526
20260102,272.25,277.84,269.0,271.01,538625,-0.003126609284190507
20260105,270.72,271.51,266.14,267.26,583950,-0.01383712778126267
20260106,267.0,267.54,262.12,262.36,694470,-0.018334206390780428
20260107,263.2,263.68,259.81,260.33,646544,-0.007737459978655381
20260108,257.06,259.29,255.7,259.04,741594,-0.004955249106902593
20260109,259.07,260.21,256.22,259.37,564414,0.0012739345274861424
20260112,259.24,261.3,256.8,260.25,581185,0.0033928364884141526
20260113,258.72,261.81,258.39,261.05,504247,0.00307396733909715
20260114,259.49,261.82,256.71,259.96,492945,-0.0041754453169892125
20260115,260.72,261.04,257.05,258.21,503488,-0.006731804893060467
20260116,258.05,258.9,255.0,255.53,700342,-0.010379148754889322
20260120,252.73,254.79,243.42,246.7,936395,-0.03455562947599111
20260121,248.7,251.56,245.18,247.65,799218,0.0038508309687881326
20260122,249.2,251.0,248.15,248.35,558637,0.0028265697557035008
20260123,247.36,249.41,244.68,248.04,561135,-0.0012482383732635993
20260126,251.5,256.56,249.8,255.41,723252,0.029712949524270282
20260127,259.14,261.95,258.21,258.27,656280,0.011197682158098576
20260128,257.53,258.86,254.51,256.44,482169,-0.0070856080845626
20260129,258.0,259.65,254.41,258.28,761122,0.007175167680548933
20260130,255.17,261.9,252.18,259.48,1177765,0.004646120489391503
20260202,260.02,270.49,259.2,270.01,991600,0.040581162324649256
20260203,269.2,271.88,267.61,269.48,836812,-0.0019628902633235246
20260204,272.29,278.95,272.28,276.49,1222395,0.026013062193854797
20260205,278.13,279.5,273.23,275.91,708105,-0.0020977250533472658
20260206,277.18,280.91,276.92,278.12,719823,0.00800985828712264
20260209,277.87,278.2,271.7,274.62,566318,-0.01258449590104993
20260210,274.88,275.37,272.94,273.68,363976,-0.0034229116597480624
20260211,274.68,280.18,274.45,275.5,676439,0.006650102309266215
20260212,275.59,275.72,260.18,261.73,1016727,-0.04998185117967324
20260213,261.95,262.23,255.45,255.78,704580,-0.022733351163412796
20260217,257.9,266.29,255.54,263.88,722171,0.03166783954961283
20260218,263.53,266.82,262.45,264.35,429173,0.0017811126269517974
20260219,262.51,264.48,260.05,260.58,369156,-0.01426139587667874
20260220,258.97,264.75,258.16,264.58,517620,0.015350372246526911
20260223,263.49,269.43,263.38,266.18,506959,0.0060473202812005855
20260224,267.99,274.89,267.71,272.14,583184,0.022390863325569166
20260225,271.73,274.94,271.05,274.23,389021,0.007679870654810239
20260226,274.88,276.11,270.79,272.95,380764,-0.00466761477591815
20260227,272.77,272.81,262.89,264.18,656206,-0.03213042681809852
20260302,262.46,266.53,260.2,264.72,457266,0.002044060867590458
20260303,263.48,265.56,260.13,263.75,458135,-0.0036642490178302456
20260304,264.7,266.15,261.42,262.52,462248,-0.004663507109004761
20260305,260.79,261.56,257.25,260.29,615785,-0.00849459088831317
20260306,258.63,258.77,254.37,257.46,422778,-0.010872488378347422
20260309,255.6,261.15,253.68,259.88,454601,0.009399518371785875
20260310,257.65,262.48,256.95,260.83,365031,0.003655533323072113
20260311,261.11,262.13,259.55,260.81,286927,-7.66782962081658e-05
20260312,258.66,258.95,254.18,255.76,478080,-0.01936275449560987
20260313,255.4,256.33,249.52,250.12,499473,-0.02205192367844855
20260316,252.1,253.89,249.93,252.82,413873,0.010794818487126046
20260317,253.04,255.13,252.18,254.23,304623,0.005577090420061603
20260318,252.72,254.94,249.0,249.94,372652,-0.016874483735200396
20260319,249.4,251.83,247.3,248.96,432214,-0.00392094102584617
20260320,247.64,249.2,246.0,247.99,637631,-0.003896208226221054
20260323,253.98,254.53,250.28,251.49,460279,0.014113472317432096
20260324,250.35,254.83,249.55,251.64,372214,0.0005964451866873333
20260325,254.09,255.0,251.6,252.62,321692,0.003894452392306569
20260326,252.22,257.0,250.77,252.89,549327,0.0010687989866200454
20260327,253.9,255.5,248.07,248.8,609998,-0.016173039661512845
20260330,250.05,250.82,245.51,246.63,427318,-0.008721864951768521
20260331,247.89,255.48,247.1,253.79,540637,0.02903134249685757
20260401,253.9,256.17,253.33,255.63,450443,0.0072500886559754285
20260402,254.2,256.13,250.65,255.92,334356,0.0011344521378555683
20260406,256.51,262.16,256.46,258.86,384539,0.01148796498905913
20260407,256.07,256.2,245.7,253.5,931613,-0.020706173221046176
20260408,258.4,259.75,256.53,258.9,502278,0.02130177514792897
20260409,259.0,261.12,256.07,260.49,339515,0.006141367323291069
20260410,259.96,262.19,259.02,260.48,359788,-3.838918960419324e-05
20260413,259.6,260.18,256.66,259.2,447752,-0.004914004914005066
20260414,259.11,261.93,257.19,258.83,547071,-0.001427469135802495
20260415,258.04,266.56,257.81,266.43,664274,0.029362902291079074
20260416,266.8,267.16,261.27,263.4,581119,-0.011372593176444235
20260417,267.07,272.3,266.72,270.23,697281,0.025930144267274358
20260420,270.33,274.28,270.33,273.05,482132,0.010435554897679777
20260421,271.59,272.8,265.4,266.17,701431,-0.025196850393700787
20260422,267.74,273.74,266.87,273.17,596394,0.026298981853702497
20260423,274.9,275.77,271.65,273.43,389735,0.0009517882637184449
20260424,272.79,273.06,269.65,271.06,457177,-0.008667666313133204
20260427,266.09,268.36,265.07,267.61,475229,-0.01272780934110529
20260428,272.34,273.2,268.66,270.71,438889,0.011584021523859178
20260429,267.59,271.04,267.04,270.17,333112,-0.001994754534372478
20260430,270.52,276.0,268.14,271.35,783864,0.004367620387163651
20260501,278.86,287.22,278.37,280.14,1357882,0.032393587617468134
20260504,279.68,280.63,274.86,276.83,676739,-0.011815520811023106
20260505,276.92,284.57,276.5,284.18,755151,0.02655059061517906
20260506,281.92,288.0,281.07,287.51,755463,0.011717925258638795
20260507,289.27,292.13,285.78,287.44,683976,-0.0002434697923550111
20260508,290.01,294.76,290.0,293.32,773507,0.020456443083773923
20260511,291.98,293.88,290.23,292.68,595563,-0.002181917359879937
20260512,292.51,295.27,292.51,294.8,561326,0.007243405767391131
20260513,293.41,300.92,293.41,298.87,722021,0.013805970149253666
20260514,299.82,300.45,295.38,298.21,520707,-0.0022083179977917533
20260515,297.94,303.2,296.52,300.23,752792,0.006773750041916937
20260518,300.24,300.65,294.91,297.84,488460,-0.0079605635679314
20260519,296.97,300.51,296.35,298.97,492025,0.0037939833467635076
20260520,298.18,302.8,298.08,302.25,604551,0.010971000434826239
20260521,301.03,305.54,300.4,304.99,528889,0.009065343258891634
20260522,306.06,311.4,305.84,308.82,623891,0.012557788779959944
20260526,309.61,311.82,307.67,308.33,613493,-0.0015866848002072942
20260527,308.36,313.26,308.3,310.85,632104,0.008173061330392972
20260528,310.62,312.8,309.57,312.51,632148,0.005340196236126582
20260529,311.78,315.0,309.53,312.06,648358,-0.0014399539214744461
20260601,309.37,310.94,305.02,306.31,731929,-0.018425943728770156
20260602,307.37,315.45,306.68,315.2,699061,0.02902288531226538
20260603,314.18,316.94,308.85,310.26,742071,-0.015672588832487344
20260604,313.16,313.54,309.65,311.23,546320,0.0031264101076518003
20260605,312.84,315.17,307.15,307.34,958010,-0.012498795103299987
20260608,308.74,317.4,301.17,301.54,1355560,-0.01887160799114973
20260609,300.24,300.75,287.78,290.55,1172330,-0.0364462426212111
20260610,290.77,294.75,287.38,291.58,811357,0.0035450008604369643
